Name,Latitude,Longitude,ZCTA5CE10
Grant Avenue Elementary School,40.828009,-73.917705,10456
Science and Technology Academy: A Mott Hall School,40.828009,-73.917705,10456
Sheridan Academy for Young Leaders,40.831873,-73.917526,10456
"Bronx School for Law, Government and Justice",40.827461,-73.919024,10451
Frederick Douglass Academy III Secondary School,40.833493,-73.903951,10456
Bronx Leadership Academy High School,40.84325,-73.902969,10457
High School for Violin and Dance,40.827455,-73.90392,10456
Mount Eden Children's Academy,40.842503,-73.916084,10452
Claremont International HS,40.839307,-73.911366,10457
Young Women's Leadership School of the Bronx,40.848552,-73.909022,10453
Garden of Learning and Discovery Pre-K Center,40.843378,-73.923738,10452
South Bronx International Middle School,40.827438,-73.914067,10456
New Pathways Academy,40.827438,-73.914067,10456
Bronx Debate Academy,40.83862,-73.921328,10452
P.S. 3 Raul Julia Micro Society,40.850131,-73.89163,10457
Milton Fein School,40.881562,-73.905697,10463
P.S. 008 Isaac Varian,40.872259,-73.883339,10458
P.S. 9 Ryer Avenue Elementary School,40.85644,-73.898821,10457
P.S. X015 Institute for Environmental Learning,40.859243,-73.909763,10453
"PS/MS 20 P.O.George J. Werdann, III",40.869482,-73.878731,10467
P.S. 023 The New Children's School,40.853294,-73.894951,10457
P.S. 024 Spuyten Duyvil,40.886922,-73.915114,10463
P.S. 032 Belmont,40.851724,-73.88622,10458
P.S. 033 Timothy Dwight,40.861698,-73.901268,10468
P.S. X037 - Multiple Intelligence School,40.877935,-73.913694,10463
Thomas C. Giordano Middle School 45,40.858389,-73.887026,10458
P.S. 046 Edgar Allan Poe,40.867169,-73.890402,10458
The Bronx STEM and Arts Academy,40.850674,-73.886997,10457
P.S./I.S. 54,40.864872,-73.88794,10458
P.S. 056 Norwood Heights,40.875481,-73.874912,10467
P.S. 059 The Community School of Technology,40.853141,-73.893639,10457
Bedford Park Elementary School,40.872559,-73.875375,10467
J.H.S. 080 The Mosholu Parkway,40.876819,-73.881245,10467
P.S. 081 Robert J. Christen,40.903275,-73.904657,10471
P.S. 085 Great Expectations,40.858689,-73.894682,10458
P.S. 086 Kingsbridge Heights,40.869061,-73.897066,10468
P.S. 091 Bronx,40.858286,-73.907494,10453
P.S. 094 Kings College School,40.880661,-73.875268,10467
P.S. 095 Sheila Mencher,40.883049,-73.891664,10463
J.H.S. 118 William W. Niles,40.848702,-73.892482,10457
Riverdale / Kingsbridge Academy (Middle School / H,40.887407,-73.914141,10463
P.S. 159 Luis Munoz Marin Biling,40.85568,-73.893136,10458
P.S. 205 Fiorello LaGuardia,40.855759,-73.881753,10458
I.S. 206 Ann Mersereau,40.859534,-73.906285,10468
P.S. 207,40.878327,-73.906197,10463
P.S. 209,40.856834,-73.897635,10458
Bronx Engineering and Technology Academy,40.877379,-73.912686,10463
Theatre Arts Production Company School,40.854257,-73.897404,10457
P.S. 226,40.855822,-73.916076,10453
Jonas Bronck Academy,40.860987,-73.891562,10458
"The Marie Curie High School for Medicine, Nursing,",40.875636,-73.901565,10468
West Bronx Academy for the Future,40.859466,-73.888625,10458
The New School for Leadership and Journalism,40.875636,-73.901565,10468
P.S. 246 Poe Center,40.865972,-73.8953,10468
