Name,Latitude,Longitude,ZCTA5CE10,nearest_route_id,nearest_route_distance,accessibility_category
A.C.E. Academy for Scholars at the Geraldine Ferra,40.71303,-73.908307,11385.0,B38,0.31468307204355794,Accessible
Civic Leadership Academy,40.743228,-73.871505,11373.0,Q29,0.08712403986504436,Very accessible
Pan American International High School,40.743228,-73.871505,11373.0,Q29,0.08712403986504436,Very accessible
Bard High School Early College Queens,40.744175,-73.937004,11101.0,Q95,0.30405745587597255,Accessible
Learners and Leaders,40.706837,-73.91499,11385.0,B38,0.06269871110202052,Very accessible
Pioneer Academy,40.749175,-73.865787,11368.0,Q23,0.17244408790807977,Very accessible
Corona Arts & Sciences Academy,40.74592,-73.865239,11368.0,Q58,0.27942512659089913,Accessible
Helen M. Marshall School,40.757888,-73.859202,11368.0,Q19,0.4545475629253572,Accessible
Mosaic Pre-K Center,40.701694,-73.883878,11385.0,B13,0.3116608779794371,Accessible
The Children's Lab School,40.74258,-73.922604,11104.0,Q39,0.20876652046759173,Very accessible
MS 419,40.759436,-73.858714,11368.0,Q19,0.42672830801499756,Accessible
Newtown High School,40.740824,-73.874129,11373.0,Q29,0.12613555032862525,Very accessible
Grover Cleveland High School,40.711881,-73.909202,11385.0,B38,0.2856803393871168,Accessible
Middle College High School at LaGuardia Community,40.743253,-73.933316,11101.0,Q60,0.1931377474602945,Very accessible
International High School at LaGuardia Community C,40.743253,-73.933316,11101.0,Q60,0.1931377474602945,Very accessible
High School for Arts and Business,40.737673,-73.853412,11368.0,Q88,0.05112589052991816,Very accessible
"Robert F. Wagner, Jr. Secondary School for Arts an",40.742217,-73.936442,11101.0,Q60,0.37064767989289044,Accessible
Maspeth High School,40.729104,-73.887909,11378.0,Q58,0.07046525726675673,Very accessible
Queens Technical High School,40.741658,-73.927995,11101.0,Q60,0.1941432918036333,Very accessible
Aviation Career & Technical Education High School,40.743309,-73.929577,11101.0,Q60,0.06040447115610163,Very accessible
VOYAGES Preparatory,40.743228,-73.871505,11373.0,Q29,0.08712403986504436,Very accessible
P.S. 020 John Bowne,40.758347,-73.824388,11355.0,Q17,0.16531395316407882,Very accessible
P.S. 021 Edward Hart,40.774134,-73.818581,11354.0,Q34,0.18439518083644607,Very accessible
P.S. 022 Thomas Jefferson,40.761744,-73.811373,11355.0,Q15,0.29321186556447276,Accessible
P.S. 024 Andrew Jackson,40.751972,-73.8181,11355.0,Q27,0.27945951052766543,Accessible
I.S. 025 Adrien Block,40.764884,-73.789365,11358.0,Q28,0.050164463614857505,Very accessible
P.S. 029 Queens,40.778029,-73.842967,11356.0,Q65,0.3455860487572533,Accessible
P.S. 032 State Street,40.765459,-73.794323,11358.0,Q28,0.30598974534942575,Accessible
P.S. 079 Francis Lewis,40.786201,-73.817338,11357.0,Q15A,0.2017251016583211,Very accessible
P.S. 107 Thomas A Dooley,40.755364,-73.799476,11358.0,Q12,0.302370651092491,Accessible
P.S. 120 Queens,40.745215,-73.828674,11355.0,Q88,0.21894112460199625,Very accessible
P.S. 129 Patricia Larkin,40.789926,-73.839505,11356.0,Q20B,0.49950862897379933,Accessible
P.S. 130,40.760219,-73.784009,11361.0,Q76,0.1424621227975979,Very accessible
P.S. 154 Queens,40.726473,-73.80775,11366.0,Q64,0.39058456682160453,Accessible
