latitude,longitude,route_id,ZCTA5CE10
40.650381,-73.891446,B103,11236
40.598697,-74.131125,S57,10314
40.893316,-73.908526,BX20,10471
40.742392,-73.917847,B24,11377
40.739066,-73.785434,QM7,11365
40.582944,-74.073699,SIM5,10305
40.862773,-73.905143,BX12,10468
40.709603,-73.869074,Q47,11379
40.665368,-73.807003,Q10,11430
40.78548,-73.95133,BXM1,10128
40.793838,-73.797422,Q15,11357
40.575822,-74.120091,S74,10306
40.776522,-73.817002,Q34,11357
40.707223,-73.795441,Q21,11432
40.84021,-73.917817,BX11,10452
40.526623,-74.174387,SIM23,10312
40.716249,-74.004629,SIM4X,10007
40.526681,-74.178254,S62,10312
40.637877,-74.075915,S78,10301
40.560931,-74.171352,SIM5,10312
40.780548,-73.946392,M31,10128
40.782777,-73.776631,Q13,11360
