ZCTA20	ZCTA_AREA20	TOT_POP_2020	COUNT_NTM_STOPS	STOPS_PER_CAPITA	STOPS_PER_SQMILE
02725	2.373317957	2647	3	1.1333584785	1.2640531063
02726	5.526461124	15513	19	1.2247792482	3.4380047321
02738	14.123814583	5148	2	.3885003924	.141604811
02739	17.334802628	6374	2	.3137747049	.1153748333
02740	5.747407913	43444	232	5.3402080536	40.3660240174
02743	18.058328629	10589	0	0	0
02744	1.300939918	11695	39	3.3347585201	29.9783248902
02745	9.819538116	24836	93	3.7445642948	9.470913887
02746	2.849001408	15283	56	3.6642019749	19.6560096741
02747	41.002803803	23051	57	2.4727778435	1.3901488781
02748	23.20936203	11212	16	1.4270424843	.6893770099
02760	17.958517075	27615	29	1.0501538515	1.6148326397
02762	10.98773098	9227	8	.8670207262	.7280848026
02763	.896992922	1666	6	3.6014406681	6.6890158653
02764	10.899817467	3911	3	.7670672536	.2752339542
02766	27.83335495	19874	14	.7044379711	.5029936433
02767	24.751092911	14626	13	.8888280988	.5252293348
02769	46.937358856	12285	0	0	0
02770	32.3568573	5461	0	0	0
02771	18.391489029	15613	2	.1280983835	.1087459549
02777	22.633275986	16692	5	.299544692	.2209136635
02779	16.512601852	6801	0	0	0
02780	33.125743866	50299	102	2.0278732777	3.0791761875
02790	53.886940002	15879	33	2.0782165527	.61239326
02791	1.302741885	373	0	0	0
02802	.193375409	501	0	0	0
02804	11.789672852	2005	3	1.4962593317	.2544599772
02806	8.184720039	16106	30	1.8626599312	3.6653666496
02807	9.081645966	871	0	0	0
02808	7.586434364	2466	0	0	0
02809	9.788705826	22095	57	2.5797691345	5.8230376244
02812	3.994450808	1300	0	0	0
02813	36.695388794	7832	0	0	0
02814	43.390399933	8033	34	4.2325406075	.7835834622
02815	2.716104746	150	0	0	0
02816	36.944980621	32683	68	2.0805923939	1.8405747414
02817	50.297302246	6297	1	.1588057876	.0198817812
02818	21.225788116	18790	58	3.0867483616	2.7325251102
02822	54.352123261	6018	17	2.8248586655	.3127752841
02823	 	 	0	 	 
02824	 	 	0	 	 
02825	55.037010193	5964	0	0	0
02826	2.435411453	382	0	0	0
02827	21.441501617	2194	0	0	0
02828	4.346055985	7528	27	3.5866100788	6.2125291824
02829	 	 	1	 	 
02830	20.404603958	5624	13	2.311522007	.6371111274
02831	10.752318382	3725	0	0	0
02832	24.79284668	4713	0	0	0
02833	3.499512911	932	0	0	0
02835	9.367778778	5494	18	3.276301384	1.9214800596
02836	.281715184	165	0	0	0
02837	20.546138763	3496	0	0	0
02838	1.396840334	3521	0	0	0
02839	4.31030798	2100	9	4.2857141495	2.0880179405
02840	7.27807188	22976	129	5.6145544052	17.7244739533
02841	.344521284	1792	0	0	0
02842	12.537516594	15931	77	4.8333439827	6.1415672302
02852	30.821880341	21653	114	5.2648591995	3.6986711025
02857	43.167697907	7969	34	4.266532898	.7876259685
02858	.618248403	613	0	0	0
02859	27.637216568	7992	5	.6256256104	.1809154749
02860	5.337569237	47175	182	3.8579757214	34.0979194641
02861	3.571650028	24764	90	3.6343078613	25.1984367371
02863	1.193895817	19437	36	1.8521376848	30.1533851624
02864	26.469266891	34936	54	1.5456835032	2.0401017666
02865	16.474187851	17876	59	3.300514698	3.5813601017
02871	17.068235397	17108	103	6.0205750465	6.0346016884
02872	5.948060989	204	0	0	0
02873	3.759062767	130	0	0	0
02874	15.564103127	6620	29	4.3806648254	1.8632618189
02875	1.776111603	439	0	0	0
02876	.199220225	577	0	0	0
02878	29.065015793	15730	3	.1907183677	.1032168716
02879	39.493846893	20851	48	2.3020479679	1.2153792381
02881	3.368371487	7593	18	2.3706045151	5.3438286781
02882	12.839935303	14204	115	8.0963106155	8.9564313889
02885	6.158257008	10451	35	3.3489618301	5.6834263802
